episode,reward,length,epsilon
397,-218.13985292872758,168,0.04099595338392503
398,-258.3782742355078,114,0.040975455407233075
399,-136.91010403902465,178,0.04095496767952946
400,-61.961964569545415,64,0.0409344901956897
401,-365.0465453024986,115,0.040914022950591857
402,-287.2280518649493,145,0.04089356593911656
403,-84.9486552085502,181,0.040873119156147004
404,-47.69260370595329,141,0.040852682596568934
405,-122.38605392977041,113,0.04083225625527065
406,-150.30694603236333,191,0.04081184012714301
407,-183.4894636939208,118,0.040791434207079445
408,-94.87230822753385,200,0.04077103848997591
409,-290.48193340790385,131,0.040750652970730925
410,-105.53595442329411,79,0.04073027764424556
411,-155.17484834756317,96,0.04070991250542344
412,-339.71469487692906,115,0.04068955754917073
413,-364.8824257249084,134,0.040669212770396146
414,-327.366198110142,112,0.04064887816401095
415,-156.7491622202096,167,0.04062855372492895
416,-180.5800431567814,107,0.040608239448066484
417,-210.5414750161534,115,0.040587935328342456
418,-345.1313587450512,144,0.04056764136067829
419,-268.18272492051506,201,0.04054735753999795
420,-347.99140167977964,93,0.04052708386122795
421,-9.787178980049205,144,0.04050682031929734
422,-245.92838279358833,136,0.04048656690913769
423,-121.68573384368514,162,0.04046632362568312
424,-334.7084350939822,188,0.04044609046387028
425,-119.13449264455132,88,0.040425867418638343
426,-121.81427971235678,126,0.04040565448492903
427,-85.29755891332302,116,0.04038545165768657
428,-260.54526293291076,253,0.040365258931857724
429,-98.7577196778458,153,0.0403450763023918
430,-175.295456853879,123,0.040324903764240604
431,-216.35103579539992,197,0.040304741312358484
432,-115.36604723715782,136,0.04028458894170231
433,-79.74698201059667,133,0.04026444664723146
434,-508.3574282532587,218,0.04024431442390784
435,-24.13484880631411,163,0.04022419226669589
436,-116.60533377097724,109,0.040204080170562546
437,-311.26725302736156,144,0.04018397813047727
438,-391.9427602836417,120,0.04016388614141203
439,-147.77119678625172,99,0.04014380419834133
440,-98.48205956511148,120,0.04012373229624216
441,-358.31884358087416,117,0.04010367043009404
442,-108.84586825171482,139,0.040083618594878995
443,-287.1219579291694,121,0.040063576785581555
444,-342.7208249757829,155,0.04004354499718877
445,-132.30991735532314,155,0.040023523224690175
446,-173.69022678601834,151,0.04000351146307783
447,-168.40103536313313,151,0.03998350970734629
448,-253.10076159528987,105,0.03996351795249262
449,102.63426792842623,1000,0.03994353619351638
450,-359.5805933191451,150,0.039923564425419625
451,-259.61047899983544,129,0.039903602643206915
452,-168.56698025731697,143,0.03988365084188531
453,-134.35962883209586,101,0.03986370901646437
454,-463.9057736400626,125,0.03984377716195614
455,-215.0344218498467,151,0.03982385527337516
456,-152.09201445880774,188,0.039803943345738474
457,-75.74510737728438,180,0.039784041374065604
458,-253.91850813719932,127,0.039764149353378575
459,-59.919719335441386,87,0.03974426727870189
460,-95.03626629119312,148,0.03972439514506254
461,-373.03507336619697,157,0.03970453294749001
462,-182.9691138371628,156,0.03968468068101627
463,-441.5153290702842,119,0.039664838340675766
464,-244.95079369647476,135,0.03964500592150543
465,-376.9537726146234,211,0.03962518341854468
466,-193.33556242703804,139,0.03960537082683541
467,-303.3163120543466,170,0.039585568141421994
468,-293.40803191024474,121,0.039565775357351285
469,43.53255192325287,132,0.03954599246967261
470,-136.30199780650912,164,0.039526219473437776
471,-423.3267603920906,159,0.03950645636370106
472,-145.7622961995773,86,0.03948670313551921
473,-132.04970385342716,59,0.039466959783951455
474,-55.0973331696264,134,0.03944722630405948
475,-205.91120985648564,170,0.03942750269090745
476,16.485407841493952,147,0.039407788939562004
477,-303.1038646836938,184,0.039388085045092225
478,-209.82477290540177,141,0.03936839100256968
479,-337.1769322764367,124,0.0393487068070684
480,-273.54462099862917,136,0.03932903245366487
481,-281.0540033133086,104,0.03930936793743804
482,-399.32213139912466,117,0.039289713253469326
483,-209.3971424948287,158,0.03927006839684259
484,-274.24222783648287,125,0.03925043336264417
485,-147.30562765368458,121,0.03923080814596285
486,-420.78877355099024,128,0.039211192741889875
487,-112.29944626174921,155,0.03919158714551893
488,-172.41726934470537,137,0.03917199135194617
489,-167.66278209721006,167,0.0391524053562702
490,-294.1911775158295,155,0.03913282915359207
491,-96.79611923261649,147,0.039113262739015275
492,-295.6279678613038,110,0.03909370610764577
493,-135.12955279868288,181,0.039074159254591956
494,-113.03198055676569,122,0.039054622174964665
495,-205.06349732107896,116,0.039035094863877184
496,-105.34134756435262,113,0.03901557731644525
497,-144.06411263612995,146,0.03899606952778703
498,-163.38146496604418,88,0.03897657149302314
499,-196.01857594355016,130,0.03895708320727663
500,-270.2439606100064,115,0.038937604665673
501,-429.45170909312253,173,0.03891813586334016
502,-112.87610199444488,145,0.038898676795408496
503,-78.9127809864039,75,0.03887922745701079
504,-173.87345928189234,138,0.03885978784328229
